Date,First Month,F1,F2,F3,F4,F5,F6,F7,F8,F9,Contango 2/1,Contango 7/4,Con 7/4 div 3
2017-09-20,10,12.275,13.175,13.775,14.975,15.325,15.825,16.275,16.625,-,7.33%,8.68%,2.89%
2017-09-19,9,10.825,12.425,13.275,13.925,15.125,15.475,15.975,16.4,16.725,14.78%,14.72%,4.91%
2017-09-18,9,10.675,12.425,13.225,13.775,14.975,15.325,15.825,16.275,16.65,16.39%,14.88%,4.96%
2017-09-15,9,11.125,12.925,13.65,14.175,15.325,15.65,16.125,16.55,16.825,16.18%,13.76%,4.59%
2017-09-14,9,11.475,13.025,13.775,14.275,15.375,15.725,16.175,16.575,16.85,13.51%,13.31%,4.44%
2017-09-13,9,11.525,12.925,13.725,14.225,15.325,15.625,16.075,16.525,16.775,12.15%,13.01%,4.34%
2017-09-12,9,11.875,13.375,14.125,14.525,15.575,15.825,16.275,16.675,16.95,12.63%,12.05%,4.02%
2017-09-11,9,12.075,13.675,14.375,14.775,15.825,16.025,16.475,16.825,17.1,13.25%,11.51%,3.84%
2017-09-08,9,13.275,14.325,14.875,15.075,16.125,16.325,16.725,17.075,17.275,7.91%,10.95%,3.65%
2017-09-07,9,12.825,14.075,14.675,14.925,15.975,16.175,16.625,16.95,17.15,9.75%,11.39%,3.80%
2017-09-06,9,13.175,14.175,14.725,14.925,15.925,16.225,16.625,16.975,17.2,7.59%,11.39%,3.80%
2017-09-05,9,13.175,14.025,14.475,14.575,15.625,15.925,16.325,16.725,17.0,6.45%,12.01%,4.00%
2017-09-04,9,12.625,13.775,14.25,14.425,15.525,15.825,16.325,16.725,16.95,9.11%,13.17%,4.39%
2017-09-01,9,12.625,13.775,14.25,14.425,15.525,15.825,16.325,16.725,16.95,9.11%,13.17%,4.39%
2017-08-31,9,12.625,13.725,14.175,14.425,15.525,15.825,16.325,16.7,16.975,8.71%,13.17%,4.39%
2017-08-30,9,13.175,14.075,14.475,14.625,15.725,16.025,16.475,16.85,17.1,6.83%,12.65%,4.22%
2017-08-29,9,13.175,14.025,14.425,14.575,15.675,15.975,16.425,16.8,16.975,6.45%,12.69%,4.23%
2017-08-28,9,13.025,13.925,14.325,14.525,15.575,15.875,16.325,16.7,16.95,6.91%,12.39%,4.13%
2017-08-25,9,13.075,14.025,14.425,14.6,15.65,15.95,16.4,16.75,17.0,7.27%,12.33%,4.11%
2017-08-24,9,13.425,14.125,14.525,14.675,15.725,15.975,16.425,16.8,17.025,5.21%,11.93%,3.98%
2017-08-23,9,13.625,14.225,14.625,14.775,15.775,16.025,16.425,16.75,16.95,4.40%,11.17%,3.72%
2017-08-22,9,12.975,13.675,14.225,14.375,15.425,15.675,16.175,16.575,16.875,5.39%,12.52%,4.17%
2017-08-21,9,14.125,14.625,14.975,14.975,15.975,16.225,16.675,17.05,17.5,3.54%,11.35%,3.78%
2017-08-18,9,14.975,15.125,15.375,15.325,16.275,16.525,16.925,17.25,-,1.00%,10.44%,3.48%
2017-08-17,9,14.925,15.025,15.225,15.175,16.125,16.375,16.825,17.2,-,0.67%,10.87%,3.62%
2017-08-16,9,13.075,13.775,14.225,14.425,15.525,15.825,16.275,16.625,-,5.35%,12.82%,4.27%
2017-08-15,8,12.325,13.175,13.975,14.425,14.625,15.675,15.925,16.375,16.725,6.90%,10.40%,3.47%
2017-08-14,8,12.45,13.175,13.825,14.325,14.525,15.575,15.825,16.35,16.7,5.82%,10.47%,3.49%
2017-08-11,8,15.425,15.275,15.525,15.725,15.725,16.725,16.925,17.325,17.625,-0.97%,7.63%,2.54%
2017-08-10,8,15.525,15.175,15.225,15.425,15.475,16.5,16.675,17.125,17.45,-2.25%,8.10%,2.70%
2017-08-09,8,11.725,13.075,13.775,14.325,14.525,15.575,15.875,16.375,16.7,11.51%,10.82%,3.61%
2017-08-08,8,11.525,12.925,13.675,14.175,14.375,15.475,15.775,16.275,16.7,12.15%,11.29%,3.76%
2017-08-07,8,11.125,12.575,13.375,13.875,14.075,15.175,15.525,16.075,16.425,13.03%,11.89%,3.96%
2017-08-04,8,11.275,12.775,13.525,13.975,14.175,15.25,15.6,16.125,16.475,13.30%,11.63%,3.88%
2017-08-03,8,11.325,12.725,13.475,13.875,14.025,15.125,15.425,15.975,16.375,12.36%,11.17%,3.72%
2017-08-02,8,11.275,12.625,13.275,13.725,13.875,14.975,15.325,15.9,16.3,11.97%,11.66%,3.89%
2017-08-01,8,11.225,12.425,13.075,13.525,13.725,14.825,15.175,15.825,16.225,10.69%,12.20%,4.07%
2017-07-31,8,11.275,12.475,13.175,13.675,13.875,15.025,15.375,16.075,16.425,10.64%,12.43%,4.14%
2017-07-28,8,11.375,12.625,13.375,13.825,14.025,15.125,15.425,16.025,16.45,10.99%,11.57%,3.86%
2017-07-27,8,11.425,12.625,13.325,13.825,14.025,15.1,15.425,16.05,16.525,10.50%,11.57%,3.86%
2017-07-26,8,11.275,12.625,13.425,13.925,14.125,15.225,15.575,16.175,16.625,11.97%,11.85%,3.95%
2017-07-25,8,11.175,12.575,13.375,13.925,14.175,15.325,15.675,16.275,16.7,12.53%,12.57%,4.19%
2017-07-24,8,11.325,12.525,13.3,13.875,14.2,15.325,15.725,16.35,16.825,10.60%,13.33%,4.44%
2017-07-21,8,11.375,12.675,13.475,14.025,14.375,15.5,15.925,16.55,-,11.43%,13.55%,4.52%
2017-07-20,8,11.475,12.725,13.475,14.075,14.425,15.575,16.025,16.625,-,10.89%,13.85%,4.62%
2017-07-19,8,11.525,12.725,13.525,14.125,14.475,15.625,16.075,16.625,-,10.41%,13.81%,4.60%
2017-07-18,7,10.125,11.775,12.925,13.725,14.225,14.475,15.625,16.075,16.675,16.30%,13.84%,4.61%
2017-07-17,7,10.275,11.925,12.925,13.675,14.175,14.425,15.525,16.05,16.6,16.06%,13.53%,4.51%
2017-07-14,7,10.575,12.025,12.975,13.7,14.225,14.425,15.55,16.025,16.575,13.71%,13.50%,4.50%
2017-07-13,7,11.075,12.375,13.325,14.025,14.575,14.775,15.875,16.325,16.85,11.74%,13.19%,4.40%
2017-07-12,7,11.525,12.425,13.4,14.125,14.625,14.825,15.925,16.4,17.0,7.81%,12.74%,4.25%
2017-07-11,7,12.125,12.675,13.575,14.325,14.825,15.025,16.125,16.575,17.1,4.54%,12.57%,4.19%
2017-07-10,7,12.225,12.825,13.775,14.475,14.975,15.175,16.275,16.675,17.15,4.91%,12.44%,4.15%
2017-07-07,7,12.575,13.075,14.075,14.775,15.275,15.475,16.525,16.925,17.4,3.98%,11.84%,3.95%
